Transaction_ID,Date,Market,Category,Amount_USD,Fee_USD,Payment_Type,Fraud_Flag,Merchant,Customer_Tier
TXN-00089,2024-02-15,Kenya,Groceries,209.87,3.9,Card,No,Equity Bank,Premium
TXN-00090,2024-09-21,Kenya,Food & Dining,61.13,1.57,Mobile Money,No,Nairobi Hospital,Premium
TXN-00091,2024-11-02,Ghana,Electronics,467.27,9.26,Mobile Money,No,KFC Ghana,Premium
TXN-00092,2024-07-23,Nigeria,Groceries,14.29,0.3,Mobile Money,No,CMS Hospital,Standard
TXN-00093,2024-08-26,Kenya,Groceries,90.04,2.11,Mobile Money,No,KPLC,Premium
TXN-00094,2024-07-09,Nigeria,Transfers,8208.78,12.93,Card,Yes,Chicken Republic,Business
TXN-00095,2024-12-10,Ghana,Food & Dining,51.49,1.01,Mobile Money,No,Africa World Airlines,Standard
TXN-00096,2024-06-12,Ghana,Health,391.62,9.11,Mobile Money,No,Melcom,Standard
TXN-00097,2024-12-24,Nigeria,Health,323.57,7.4,Mobile Money,No,Dangote Store,Standard
TXN-00098,2024-04-25,South Africa,Transfers,5682.11,15.95,Card,Yes,Cape Union Mart,Premium
TXN-00099,2024-01-12,South Africa,Groceries,91.72,1.78,Mobile Money,No,Steers,Standard
TXN-00100,2024-08-09,South Africa,Electronics,732.72,17.92,Card,No,FlySafair,Premium
TXN-00101,2024-07-03,Kenya,Health,529.71,13.69,QR Code,No,Java House,Premium
TXN-00102,2024-02-13,Kenya,Utilities,70.55,1.65,Mobile Money,No,Java House,Standard
TXN-00103,2024-02-08,Nigeria,Utilities,131.6,3.01,Card,No,Netflix Nigeria,Business
TXN-00104,2024-12-10,Ghana,Groceries,12.17,0.32,Mobile Money,No,Maxmart,Standard
TXN-00105,2024-03-15,Nigeria,Health,402.73,9.14,Card,No,Slot,Premium
TXN-00106,2024-11-20,Nigeria,Health,160.8,3.46,QR Code,No,Slot,Standard
TXN-00107,2024-12-12,Ghana,Health,171.29,3.34,Mobile Money,No,Vodafone Ghana,Standard
TXN-00108,2024-02-07,Ghana,Utilities,80.81,1.61,Mobile Money,No,KFC Ghana,Standard
TXN-00109,2024-11-18,Kenya,Electronics,523.48,10.04,QR Code,Yes,Quickmart,Premium
TXN-00110,2024-12-18,Nigeria,Groceries,17.26,0.31,Card,No,Chicken Republic,Premium
TXN-00111,2024-01-09,Kenya,Entertainment,38.55,0.84,Card,No,Carrefour Kenya,Standard
TXN-00112,2024-07-08,South Africa,Groceries,188.86,4.19,Card,No,Woolworths,Premium
TXN-00113,2024-12-28,Nigeria,Transfers,4553.02,5.22,Mobile Money,No,Slot,Standard
TXN-00114,2024-02-20,Ghana,Utilities,99.52,2.21,Mobile Money,No,KFC Ghana,Standard
TXN-00115,2024-11-04,South Africa,Transfers,6508.5,9.31,Card,Yes,Steers,Premium
TXN-00116,2024-11-13,Nigeria,Groceries,82.49,1.73,Mobile Money,No,Slot,Standard
TXN-00117,2024-02-03,Kenya,Groceries,177.6,3.99,Mobile Money,No,Java House,Premium
TXN-00118,2024-09-14,Nigeria,Transfers,7822.72,19.1,QR Code,No,Chicken Republic,Premium
TXN-00119,2024-02-17,Kenya,Transfers,585.68,1.58,Mobile Money,No,Equity Bank,Standard
TXN-00120,2024-04-14,South Africa,Health,453.37,10.49,Mobile Money,No,Eskom,Premium
TXN-00121,2024-01-09,Ghana,Food & Dining,5.34,0.13,Mobile Money,No,ECG Ghana,Standard
TXN-00122,2024-10-01,Kenya,Utilities,50.83,0.98,Mobile Money,No,Equity Bank,Standard
TXN-00123,2024-08-02,Kenya,Entertainment,8.67,0.19,Mobile Money,No,KQ Airways,Standard
TXN-00124,2024-04-25,Nigeria,Food & Dining,42.3,0.96,Card,No,EKEDC,Standard
TXN-00125,2024-06-20,Kenya,Electronics,2177.66,52.51,Mobile Money,No,Nairobi Hospital,Business
TXN-00126,2024-10-06,Kenya,Utilities,60.29,1.41,Mobile Money,No,Naivas,Standard
TXN-00127,2024-06-15,South Africa,Health,237.89,5.63,Card,No,Woolworths,Standard
TXN-00128,2024-12-06,South Africa,Utilities,166.76,3.12,Card,No,Takealot,Premium
TXN-00129,2024-06-03,Nigeria,Food & Dining,23.32,0.45,Card,No,Jumia,Standard
TXN-00130,2024-03-25,Nigeria,Entertainment,74.74,1.49,Mobile Money,No,Dangote Store,Premium
TXN-00131,2024-03-25,Ghana,Groceries,112.8,2.71,Card,No,Accra Mall,Premium
TXN-00132,2024-09-20,Nigeria,Health,187.11,4.07,Card,No,Dangote Store,Standard
TXN-00133,2024-01-17,Kenya,Travel,972.34,19.74,Mobile Money,No,Carrefour Kenya,Standard
TXN-00134,2024-09-17,Nigeria,Utilities,265.15,4.86,QR Code,No,EKEDC,Business
TXN-00135,2024-05-16,Nigeria,Health,328.17,8.11,QR Code,No,GTBank,Standard
TXN-00136,2024-01-23,Nigeria,Food & Dining,13.73,0.29,Mobile Money,No,Chicken Republic,Standard
TXN-00137,2024-09-02,South Africa,Transfers,517.8,1.22,Card,No,Takealot,Standard
TXN-00138,2024-11-11,Kenya,Transfers,5515.28,12.75,Card,Yes,Carrefour Kenya,Business
TXN-00139,2024-05-13,Ghana,Food & Dining,43.66,1.12,QR Code,No,KFC Ghana,Standard
TXN-00140,2024-09-14,Nigeria,Groceries,114.53,2.37,Card,No,GTBank,Standard
TXN-00141,2024-03-10,South Africa,Groceries,182.36,4.57,Mobile Money,No,Takealot,Premium
TXN-00142,2024-02-13,Kenya,Electronics,927.77,23.4,Card,No,Java House,Premium
TXN-00143,2024-09-08,South Africa,Utilities,144.33,2.87,Mobile Money,No,Cape Union Mart,Premium
TXN-00144,2024-12-07,Nigeria,Health,673.27,13.64,Mobile Money,No,GTBank,Business
TXN-00145,2024-11-26,Ghana,Health,202.62,4.25,QR Code,No,Maxmart,Standard
TXN-00146,2024-11-10,Kenya,Groceries,65.5,1.61,Mobile Money,No,Nairobi Hospital,Standard
TXN-00147,2024-11-01,Nigeria,Food & Dining,26.24,0.49,Mobile Money,No,Slot,Standard
TXN-00148,2024-11-21,Nigeria,Groceries,110.75,2.41,Card,No,Netflix Nigeria,Standard
TXN-00149,2024-07-01,South Africa,Groceries,24.75,0.63,Card,No,Eskom,Standard
TXN-00150,2024-04-04,Kenya,Food & Dining,53.44,1.01,QR Code,No,Naivas,Premium
TXN-00151,2024-09-19,Nigeria,Groceries,76.86,1.53,Mobile Money,No,Slot,Standard
TXN-00152,2024-07-12,Kenya,Utilities,98.95,2.22,Mobile Money,No,KQ Airways,Standard
TXN-00153,2024-12-09,South Africa,Food & Dining,18.26,0.42,Mobile Money,No,Steers,Standard
TXN-00154,2024-02-12,Ghana,Entertainment,40.06,0.87,Card,No,ECG Ghana,Standard
TXN-00155,2024-01-25,South Africa,Groceries,96.6,2.42,Card,No,DSTV SA,Standard
TXN-00156,2024-12-18,Nigeria,Groceries,70.37,1.75,Mobile Money,No,Air Peace,Premium
TXN-00157,2024-02-12,Nigeria,Food & Dining,57.61,1.19,Mobile Money,No,Chicken Republic,Standard
TXN-00158,2024-12-17,Nigeria,Groceries,56.23,1.46,Mobile Money,No,Slot,Standard
TXN-00159,2024-02-22,Nigeria,Travel,849.9,18.32,Mobile Money,No,Chicken Republic,Premium
TXN-00160,2024-09-14,Nigeria,Health,151.31,3.5,Mobile Money,No,GTBank,Business
TXN-00161,2024-12-05,South Africa,Transfers,674.84,0.99,Card,No,Takealot,Standard
TXN-00162,2024-01-05,Ghana,Health,309.97,7.0,Mobile Money,No,Korle Bu Hospital,Standard
TXN-00163,2024-04-04,Kenya,Electronics,735.16,13.93,Card,No,KPLC,Standard
TXN-00164,2024-12-10,Ghana,Health,71.58,1.33,Mobile Money,No,KFC Ghana,Standard
TXN-00165,2024-11-28,South Africa,Transfers,4983.72,7.88,Card,Yes,Pick n Pay,Premium
TXN-00166,2024-11-17,Nigeria,Health,193.35,4.24,Mobile Money,No,Netflix Nigeria,Premium
TXN-00167,2024-11-18,Kenya,Health,171.3,4.07,Mobile Money,No,KQ Airways,Standard
TXN-00168,2024-11-03,Kenya,Food & Dining,30.62,0.68,Mobile Money,No,DStv Kenya,Standard
TXN-00169,2024-09-06,South Africa,Groceries,105.24,2.59,Card,No,Pick n Pay,Standard
TXN-00170,2024-05-23,Nigeria,Health,127.94,2.38,Mobile Money,No,Air Peace,Standard
TXN-00171,2024-02-10,Ghana,Groceries,132.73,3.01,Mobile Money,No,Accra Mall,Premium
TXN-00172,2024-05-19,Kenya,Health,380.45,9.19,Mobile Money,No,Equity Bank,Standard
TXN-00173,2024-06-21,Kenya,Health,263.92,5.39,Mobile Money,No,KQ Airways,Standard
TXN-00174,2024-05-03,Ghana,Groceries,60.02,1.24,Mobile Money,No,MultiChoice Ghana,Standard
TXN-00175,2024-10-28,Nigeria,Food & Dining,59.26,1.12,Mobile Money,No,Netflix Nigeria,Premium
TXN-00176,2024-04-04,Kenya,Health,318.51,8.19,QR Code,No,Equity Bank,Premium
TXN-00177,2024-10-07,South Africa,Travel,1287.0,26.34,Mobile Money,No,Checkers,Standard
TXN-00178,2024-07-08,Kenya,Food & Dining,32.22,0.81,Card,No,DStv Kenya,Standard
TXN-00179,2024-01-04,Nigeria,Health,557.06,11.66,Mobile Money,No,EKEDC,Premium
TXN-00180,2024-06-10,Kenya,Travel,1345.18,34.86,Card,Yes,Carrefour Kenya,Premium
TXN-00181,2024-06-26,South Africa,Utilities,22.98,0.52,Card,No,Woolworths,Standard
TXN-00182,2024-03-11,South Africa,Travel,2241.38,42.85,QR Code,No,DSTV SA,Standard
TXN-00183,2024-12-24,South Africa,Utilities,55.87,1.22,Card,No,Woolworths,Standard
TXN-00184,2024-06-22,Kenya,Food & Dining,54.43,1.36,Mobile Money,No,Safaricom,Standard
TXN-00185,2024-12-26,South Africa,Utilities,14.62,0.32,Card,No,DSTV SA,Standard
TXN-00186,2024-03-22,Nigeria,Utilities,46.48,1.0,Mobile Money,No,EKEDC,Premium
TXN-00187,2024-06-25,Ghana,Travel,3306.02,78.17,Mobile Money,No,Vodafone Ghana,Premium
TXN-00188,2024-07-11,South Africa,Travel,1401.98,32.82,Card,No,Eskom,Standard
TXN-00189,2024-09-07,South Africa,Electronics,756.11,19.55,Card,No,Cape Union Mart,Standard
TXN-00190,2024-05-12,Ghana,Health,228.57,5.16,Mobile Money,No,Palace Mall,Premium
TXN-00191,2024-11-25,South Africa,Food & Dining,44.28,0.92,Card,No,Cape Union Mart,Standard
TXN-00192,2024-04-27,Ghana,Health,124.72,2.86,Mobile Money,No,Maxmart,Premium
TXN-00193,2024-04-08,Kenya,Food & Dining,17.6,0.43,Mobile Money,No,Quickmart,Premium
TXN-00194,2024-06-16,Nigeria,Electronics,984.12,22.8,QR Code,No,Dangote Store,Business
TXN-00195,2024-04-24,South Africa,Health,286.34,7.18,Mobile Money,No,DSTV SA,Business
TXN-00196,2024-10-06,South Africa,Health,1233.6,22.3,Card,No,Steers,Business
TXN-00197,2024-05-21,Ghana,Travel,7476.56,162.57,Mobile Money,Yes,ECG Ghana,Business
TXN-00198,2024-10-21,Nigeria,Electronics,1154.4,26.02,Card,No,CMS Hospital,Premium
TXN-00199,2024-11-17,Nigeria,Food & Dining,58.99,1.29,QR Code,Yes,CMS Hospital,Standard
TXN-00200,2024-04-25,Nigeria,Food & Dining,36.51,0.73,Mobile Money,No,Slot,Standard
TXN-00201,2024-07-06,Nigeria,Travel,6215.41,127.34,Mobile Money,No,Air Peace,Business
TXN-00202,2024-06-08,Kenya,Groceries,91.75,2.1,Mobile Money,No,Nairobi Hospital,Standard
TXN-00203,2024-10-26,Ghana,Electronics,616.05,15.39,Mobile Money,No,MultiChoice Ghana,Standard
TXN-00204,2024-02-19,Kenya,Entertainment,45.35,1.01,Mobile Money,No,Nairobi Hospital,Business
TXN-00205,2024-02-07,Ghana,Travel,4008.88,73.94,Mobile Money,No,Accra Mall,Business
TXN-00206,2024-01-15,Ghana,Food & Dining,19.0,0.34,Mobile Money,No,Palace Mall,Standard
TXN-00207,2024-05-03,Ghana,Groceries,414.45,9.03,Mobile Money,No,ECG Ghana,Business
TXN-00208,2024-10-24,Ghana,Food & Dining,88.04,2.2,QR Code,No,Maxmart,Business
TXN-00209,2024-02-28,Nigeria,Groceries,67.23,1.6,Mobile Money,Yes,Shoprite Nigeria,Standard
TXN-00210,2024-12-15,Ghana,Utilities,84.1,1.68,Mobile Money,No,KFC Ghana,Standard
TXN-00211,2024-01-22,Nigeria,Entertainment,15.04,0.3,Mobile Money,No,Dangote Store,Business
TXN-00212,2024-09-28,Kenya,Entertainment,15.55,0.31,QR Code,No,DStv Kenya,Standard
TXN-00213,2024-12-08,South Africa,Entertainment,31.91,0.75,Card,No,Pick n Pay,Standard
TXN-00214,2024-12-17,Nigeria,Food & Dining,57.17,1.43,QR Code,No,CMS Hospital,Standard
TXN-00215,2024-08-02,South Africa,Health,572.21,11.76,Card,No,DSTV SA,Premium
TXN-00216,2024-03-18,Nigeria,Entertainment,36.84,0.9,QR Code,No,CMS Hospital,Standard
TXN-00217,2024-08-05,Nigeria,Electronics,109.3,2.36,Mobile Money,No,EKEDC,Standard
TXN-00218,2024-01-13,Ghana,Utilities,46.05,1.11,Card,No,Vodafone Ghana,Premium
TXN-00219,2024-04-11,Nigeria,Health,92.21,2.21,Card,No,EKEDC,Standard
TXN-00220,2024-09-23,Kenya,Health,314.7,6.62,Mobile Money,No,Safaricom,Standard
TXN-00221,2024-06-16,Nigeria,Entertainment,70.33,1.45,Mobile Money,No,Shoprite Nigeria,Premium
TXN-00222,2024-08-08,South Africa,Groceries,73.41,1.74,Card,No,Netcare,Standard
TXN-00223,2024-06-27,Nigeria,Utilities,134.71,3.25,Mobile Money,No,Netflix Nigeria,Business
TXN-00224,2024-07-24,South Africa,Groceries,111.62,2.83,Card,No,Woolworths,Premium
TXN-00225,2024-07-27,South Africa,Health,557.39,11.87,Card,No,Pick n Pay,Premium
TXN-00226,2024-01-17,Nigeria,Groceries,202.52,5.12,Card,No,Jumia,Premium
TXN-00227,2024-08-01,Kenya,Entertainment,17.9,0.39,Card,No,Quickmart,Standard
TXN-00228,2024-02-04,Ghana,Electronics,419.55,8.74,Card,No,Palace Mall,Premium
TXN-00229,2024-07-08,South Africa,Electronics,1232.34,28.63,Card,No,FlySafair,Premium
TXN-00230,2024-06-13,Ghana,Groceries,27.19,0.6,Mobile Money,No,Accra Mall,Standard
TXN-00231,2024-12-04,South Africa,Health,362.48,8.53,Card,No,FlySafair,Standard
TXN-00232,2024-09-09,South Africa,Utilities,93.59,1.92,QR Code,No,DSTV SA,Standard
TXN-00233,2024-12-10,Kenya,Electronics,606.2,15.26,Mobile Money,No,Quickmart,Premium
TXN-00234,2024-11-23,South Africa,Travel,659.1,14.17,Card,No,Takealot,Business
TXN-00235,2024-12-13,South Africa,Food & Dining,86.25,1.86,Mobile Money,No,DSTV SA,Premium
TXN-00236,2024-06-22,Ghana,Food & Dining,37.19,0.74,Mobile Money,No,Palace Mall,Premium
TXN-00237,2024-10-21,Kenya,Food & Dining,10.03,0.26,Mobile Money,No,Carrefour Kenya,Standard
TXN-00238,2024-02-06,Nigeria,Utilities,19.3,0.36,Card,No,Chicken Republic,Standard
TXN-00239,2024-11-01,Nigeria,Food & Dining,54.56,1.38,QR Code,No,GTBank,Standard
TXN-00240,2024-09-06,Kenya,Food & Dining,8.48,0.18,Mobile Money,No,Carrefour Kenya,Standard
TXN-00241,2024-06-08,South Africa,Travel,2125.43,40.56,Mobile Money,No,Takealot,Premium
TXN-00242,2024-06-28,Nigeria,Food & Dining,93.88,2.42,Mobile Money,No,EKEDC,Premium
TXN-00243,2024-07-06,South Africa,Health,284.08,6.23,Card,No,DSTV SA,Standard
TXN-00244,2024-05-26,Nigeria,Groceries,74.33,1.66,Card,No,Netflix Nigeria,Standard
TXN-00245,2024-12-07,Nigeria,Food & Dining,89.81,2.19,Mobile Money,No,Air Peace,Premium
TXN-00246,2024-04-22,Kenya,Food & Dining,29.7,0.68,Mobile Money,No,KQ Airways,Standard
TXN-00247,2024-08-26,South Africa,Transfers,5374.84,15.2,Mobile Money,Yes,Steers,Premium
TXN-00248,2024-03-20,Kenya,Health,305.74,7.34,QR Code,No,Naivas,Premium
TXN-00249,2024-02-08,Nigeria,Travel,1472.07,31.75,Mobile Money,No,Dangote Store,Standard
TXN-00250,2024-09-05,Nigeria,Groceries,54.59,1.4,Mobile Money,No,GTBank,Standard
TXN-00251,2024-05-11,Nigeria,Electronics,407.12,8.76,Card,No,Air Peace,Standard
TXN-00252,2024-01-23,Kenya,Entertainment,63.36,1.22,QR Code,No,Quickmart,Premium
TXN-00253,2024-08-11,Ghana,Health,173.92,3.39,Card,No,Melcom,Standard
TXN-00254,2024-10-07,Nigeria,Food & Dining,16.81,0.34,Card,No,Dangote Store,Standard
TXN-00255,2024-02-28,Ghana,Food & Dining,11.27,0.26,Mobile Money,No,MultiChoice Ghana,Standard
TXN-00256,2024-08-20,Nigeria,Groceries,59.28,1.15,Card,No,Dangote Store,Standard
TXN-00257,2024-08-22,Kenya,Groceries,28.5,0.67,Mobile Money,No,Quickmart,Standard
TXN-00258,2024-08-14,Kenya,Utilities,121.47,3.16,Mobile Money,No,Quickmart,Premium
TXN-00259,2024-03-27,Nigeria,Groceries,9.07,0.17,Card,No,Jumia,Standard
TXN-00260,2024-09-14,Ghana,Food & Dining,56.61,1.06,Mobile Money,No,Korle Bu Hospital,Premium
TXN-00261,2024-01-08,Ghana,Groceries,91.16,2.2,Mobile Money,No,KFC Ghana,Standard
TXN-00262,2024-04-18,South Africa,Food & Dining,11.68,0.28,Card,No,FlySafair,Premium
TXN-00263,2024-10-21,South Africa,Food & Dining,101.32,2.11,Card,No,FlySafair,Business
TXN-00264,2024-10-08,Kenya,Entertainment,78.54,1.8,Mobile Money,No,KPLC,Premium
TXN-00265,2024-11-26,Kenya,Food & Dining,34.63,0.71,Card,No,Safaricom,Standard
TXN-00266,2024-12-17,South Africa,Transfers,4815.72,12.38,QR Code,No,Pick n Pay,Standard
TXN-00267,2024-10-05,Nigeria,Transfers,6871.15,16.16,Mobile Money,No,Air Peace,Premium
TXN-00268,2024-09-13,Nigeria,Utilities,55.26,1.22,Mobile Money,No,Chicken Republic,Business
TXN-00269,2024-07-16,Nigeria,Groceries,161.48,3.85,Mobile Money,No,Chicken Republic,Premium
TXN-00270,2024-11-26,Ghana,Electronics,208.89,4.21,Card,No,Accra Mall,Standard
TXN-00271,2024-02-28,Nigeria,Food & Dining,12.37,0.23,Card,No,Slot,Premium
TXN-00272,2024-12-06,Nigeria,Groceries,100.93,2.37,Mobile Money,No,GTBank,Business
TXN-00273,2024-11-09,Kenya,Food & Dining,41.55,0.96,Mobile Money,No,KPLC,Standard
TXN-00274,2024-06-03,Ghana,Groceries,22.86,0.45,Card,Yes,MultiChoice Ghana,Standard
